generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1773995030-cqlxBhjoTSSDEUJkV1zE,2026-03-20 08:23:50.259,0.07905,,,0,0,25955,79,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2178,1766,ClifPad,clif key
gen-1773995026-4x3WwUDLyGZyNkKMrD8A,2026-03-20 08:23:46.699,0.078087,,,0,0,25759,54,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1644,1257,ClifPad,clif key
gen-1773995024-hC50rCk1TmV99rYuFlmc,2026-03-20 08:23:44.015,0.068784,,,0,0,22488,88,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2261,1585,ClifPad,clif key
gen-1773995020-vbXlPCp6JAgn7XaRiyDA,2026-03-20 08:23:40.843,0.057618,,,0,0,18721,97,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2473,903,ClifPad,clif key
gen-1773995019-6PxHqGhuasxxjW6txv6z,2026-03-20 08:23:39.171,0.051564,,,0,0,16783,81,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1619,1153,ClifPad,clif key
gen-1773995017-6flz6LKnxUqncI4DyGvj,2026-03-20 08:23:37.166,0.050727,,,0,0,16479,86,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1881,1104,ClifPad,clif key
gen-1773995015-Bp8agF1r4IDvMh72JVMv,2026-03-20 08:23:35.610,0.049149,,,0,0,15978,81,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1512,1083,ClifPad,clif key
gen-1773995014-tUp6u4VPxd5hz39iWFhK,2026-03-20 08:23:34.007,0.048741,,,0,0,15862,77,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1554,1027,ClifPad,clif key
gen-1773995012-bOHN1qtLgwqQTaNQjpvF,2026-03-20 08:23:32.515,0.048321,,,0,0,15712,79,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1444,978,ClifPad,clif key
gen-1773995007-2yLtYZ8vMi8qfGKbuZ1n,2026-03-20 08:23:27.972,0.045534,,,0,0,14803,75,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,4275,4077,ClifPad,clif key
gen-1773995005-D1RoewkpaQyAybO5RBSJ,2026-03-20 08:23:25.534,0.045378,,,0,0,14691,87,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2356,1466,ClifPad,clif key
gen-1773995002-e7vE69SBd5Djup23K1rU,2026-03-20 08:23:22.971,0.044778,,,0,0,14541,77,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2392,1632,ClifPad,clif key
gen-1773995001-QRxtiEQ9p2SEN40AHd2v,2026-03-20 08:23:21.351,0.043503,,,0,0,14066,87,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1551,1077,ClifPad,clif key
